[ 2026-02-21 01:50:13 ] INFO | root | Entered start_data_ingestion method of TrainPipeline class
[ 2026-02-21 01:50:13 ] INFO | root | Fetching data from MongoDB
[ 2026-02-21 01:50:13 ] INFO | root | Entered initiate_data_ingestion method of DataIngestion class
[ 2026-02-21 01:50:13 ] INFO | root | Exporting data from MongoDB
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "699963b55eab2bb4bab5475c"}}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "699963b55eab2bb4bab5475c"}, "previousDescription": "<TopologyDescription id: 699963b55eab2bb4bab5475c, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 699963b55eab2bb4bab5475c, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "699963b55eab2bb4bab5475c"}, "serverHost": "ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net", "serverPort": 27017}
[ 2026-02-21 01:50:14 ] INFO | root | MongoDB connection successful
[ 2026-02-21 01:50:14 ] DEBUG | pymongo.serverSelection | {"message": "Server selection started", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 699963b55eab2bb4bab5475c, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-cpfhhdl-shard-00-00.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-01.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-cpfhhdl-shard-00-02.mubhbwm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "699963b55eab2bb4bab5475c"}}
